COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,DateTime,
28,0,0,4569.230769,4052.820513,3876.410256,4346.153846,4463.076923,4398.974359,4313.846154,4420.512821,4555.897436,4118.461538,4269.74359,3986.153846,3896.923077,4178.974359,1663,1691,11.524,11.40824127,0,0,0,0,2/8/15 6:13
29,0,0,4563.589744,4053.333333,3883.589744,4340,4461.025641,4404.615385,4313.846154,4422.564103,4568.717949,4125.641026,4266.153846,3990.769231,3901.025641,4163.076923,1664,1692,11.533,11.53334904,0,0,0,0,2/8/15 6:13
30,0,0,4566.666667,4048.205128,3884.102564,4333.846154,4460,4385.641026,4313.846154,4429.74359,4572.307692,4127.179487,4269.74359,3997.435897,3903.076923,4147.692308,1663,1692,11.541,11.53334904,0,0,0,0,2/8/15 6:13
31,0,0,4561.025641,4043.076923,3875.897436,4340,4456.923077,4367.179487,4313.846154,4430.769231,4568.205128,4120.512821,4265.641026,3976.923077,3900,4158.461538,1664,1692,11.549,11.53334904,0,0,0,0,2/8/15 6:13
32,0,0,4552.307692,4043.076923,3872.820513,4340.512821,4460.512821,4376.410256,4313.846154,4427.692308,4569.230769,4120,4253.846154,3956.923077,3895.384615,4160,1663,1691,11.557,11.53334904,0,0,0,0,2/8/15 6:13
33,0,0,4553.846154,4045.641026,3870.25641,4329.74359,4464.615385,4394.358974,4313.846154,4426.666667,4568.205128,4122.051282,4255.384615,3961.025641,3893.846154,4142.564103,1663,1693,11.565,11.56462574,0,0,0,0,2/8/15 6:13
34,0,0,4557.435897,4041.538462,3863.589744,4324.102564,4472.307692,4391.282051,4313.846154,4427.179487,4566.153846,4122.564103,4264.102564,3964.615385,3893.333333,4129.230769,1664,1690,11.572,11.56462574,0,0,0,0,2/8/15 6:13
35,0,0,4552.307692,4035.384615,3865.641026,4330.25641,4479.487179,4376.923077,4313.846154,4428.717949,4570.769231,4126.153846,4265.128205,3964.615385,3893.333333,4133.333333,1663,1690,11.58,11.56462574,0,0,0,0,2/8/15 6:13
36,0,0,4545.641026,4032.820513,3875.897436,4334.358974,4461.538462,4374.358974,4313.846154,4429.74359,4572.820513,4126.153846,4265.128205,3971.794872,3895.384615,4143.589744,1663,1688,11.588,11.56462574,0,0,0,0,2/8/15 6:13
37,0,0,4545.128205,4035.897436,3877.948718,4332.820513,4437.435897,4379.487179,4313.846154,4427.179487,4569.230769,4125.641026,4264.102564,3976.923077,3897.435897,4161.025641,1663,1690,11.596,11.56462574,0,0,0,0,2/8/15 6:13
